byte[00]: 0000
byte[01]: a505df1b
byte[02]: 3c0c8ea1
byte[03]: 4b0bbe37
byte[04]: d56f2b94
byte[05]: a2681b02
byte[06]: 3b614ab8
byte[07]: 4c667a2e
byte[08]: dcd967bf
byte[09]: abde5729
byte[0a]: 32d70693
byte[0b]: 45d03605
byte[0c]: dbb4a3a6
byte[0d]: acb39330
byte[0e]: 35bac28a
byte[0f]: 42bdf21c
byte[10]: cfb5ffe9
byte[11]: b8b2cf7f
byte[12]: 21bb9ec5
byte[13]: 56bcae53
byte[14]: c8d83bf0
byte[15]: bfdf0b66
byte[16]: 26d65adc
byte[17]: 51d16a4a
byte[18]: c16e77db
byte[19]: b669474d
byte[1a]: 2f6016f7
byte[1b]: 58672661
byte[1c]: c603b3c2
byte[1d]: b1048354
byte[1e]: 280dd2ee
byte[1f]: 5f0ae278
byte[20]: e96ccf45
byte[21]: 9e6bffd3
byte[22]: 762ae69
byte[23]: 70659eff
byte[24]: ee010b5c
byte[25]: 99063bca
byte[26]: f6a70
byte[27]: 77085ae6
byte[28]: e7b74777
byte[29]: 90b077e1
byte[2a]: 9b9265b
byte[2b]: 7ebe16cd
byte[2c]: e0da836e
byte[2d]: 97ddb3f8
byte[2e]: ed4e242
byte[2f]: 79d3d2d4
byte[30]: f4dbdf21
byte[31]: 83dcefb7
byte[32]: 1ad5be0d
byte[33]: 6dd28e9b
byte[34]: f3b61b38
byte[35]: 84b12bae
byte[36]: 1db87a14
byte[37]: 6abf4a82
byte[38]: fa005713
byte[39]: 8d076785
byte[3a]: 140e363f
byte[3b]: 630906a9
byte[3c]: fd6d930a
byte[3d]: 8a6aa39c
byte[3e]: 1363f226
byte[3f]: 6464c2b0
byte[40]: a4deae1d
byte[41]: d3d99e8b
byte[42]: 4ad0cf31
byte[43]: 3dd7ffa7
byte[44]: a3b36a04
byte[45]: d4b45a92
byte[46]: 4dbd0b28
byte[47]: 3aba3bbe
byte[48]: aa05262f
byte[49]: dd0216b9
byte[4a]: 440b4703
byte[4b]: 330c7795
byte[4c]: ad68e236
byte[4d]: da6fd2a0
byte[4e]: 4366831a
byte[4f]: 3461b38c
byte[50]: b969be79
byte[51]: ce6e8eef
byte[52]: 5767df55
byte[53]: 2060efc3
byte[54]: be047a60
byte[55]: c9034af6
byte[56]: 500a1b4c
byte[57]: 270d2bda
byte[58]: b7b2364b
byte[59]: c0b506dd
byte[5a]: 59bc5767
byte[5b]: 2ebb67f1
byte[5c]: b0dff252
byte[5d]: c7d8c2c4
byte[5e]: 5ed1937e
byte[5f]: 29d6a3e8
byte[60]: 9fb08ed5
byte[61]: e8b7be43
byte[62]: 71beeff9
byte[63]: 6b9df6f
byte[64]: 98dd4acc
byte[65]: efda7a5a
byte[66]: 76d32be0
byte[67]: 1d41b76
byte[68]: 916b06e7
byte[69]: e66c3671
byte[6a]: 7f6567cb
byte[6b]: 862575d
byte[6c]: 9606c2fe
byte[6d]: e101f268
byte[6e]: 7808a3d2
